,Date,Close,MA5,MA20,BB_upper,BB_lower
44,2009-07-01,-0.9463602625471418,-0.8855052069983096,-0.7562128693074139,-0.7631365531142784,-0.7360535512038047
45,2009-07-02,-1.0970929178505087,-0.9067181728789552,-0.7804657349061729,-0.7974633341548999,-0.7494835497174959
46,2009-07-06,-1.081015017136042,-0.9524951703971298,-0.8069463191167436,-0.858548215238593,-0.7397646728556381
47,2009-07-07,-1.2673493665035227,-1.0360941916562134,-0.839095329990324,-0.8847002028898411,-0.7775552206821974
48,2009-07-08,-1.1832259422626925,-1.0917491067945024,-0.8643704906093295,-0.922865429112812,-0.7890810313323533
49,2009-07-09,-1.0698171028333012,-1.1168082950769163,-0.8813146887922265,-0.964106775066688,-0.7806364126438793
50,2009-07-10,-1.0122521718854944,-1.0995873762341057,-0.8924531650042172,-0.9959305358348018,-0.7702167539189728
51,2009-07-13,-0.8701323243187087,-1.0567825458774989,-0.8928651385632108,-0.9975003111797333,-0.7694257078238274
52,2009-07-14,-0.8645333671673389,-0.9750192191380767,-0.8868228596979758,-0.9811472004089918,-0.7741377751660928
53,2009-07-15,-0.6710214031834633,-0.8710522785121702,-0.8699091586004919,-0.9166648338092357,-0.806650317759924
54,2009-07-16,-0.607426572377957,-0.7771965526096786,-0.8489749250759726,-0.8440586802865763,-0.8394498778032402
55,2009-07-17,-0.7847177209743474,-0.7310117593418313,-0.8366234594245968,-0.8211063782775327,-0.8382608381692376
56,2009-07-20,-0.7858654357330417,-0.7139073216926348,-0.8289333155351557,-0.8039491662261582,-0.8404818327869857
57,2009-07-21,-0.818452729540125,-0.7045539041598566,-0.8132555351146514,-0.7912220967003818,-0.8220258348333536
58,2009-07-22,-0.8214676794689748,-0.7350913904189256,-0.7964639099941258,-0.7834489117050117,-0.7962075851037856
59,2009-07-23,-0.6829366392103869,-0.7504183741452666,-0.7750643037993711,-0.7536581745791969,-0.783843561096359
60,2009-07-24,-0.5482818846214879,-0.7024267835121114,-0.7514522567472794,-0.6965316358053931,-0.7952559362102928
61,2009-07-27,-0.5482818846214879,-0.6542022304917291,-0.735126004296988,-0.6504015911635096,-0.8099958738523333
62,2009-07-28,-0.6469045521117617,-0.619381494210791,-0.7240409564080061,-0.6269494379025542,-0.8118759083860416
63,2009-07-29,-0.6987276112351821,-0.5944677958483701,-0.7128643296274793,-0.6104304627486229,-0.8064098260610925
64,2009-07-30,-0.5637859279566094,-0.5702826628061577,-0.692532793292859,-0.5740803298085142,-0.8029741718031006
65,2009-07-31,-0.6009662794857472,-0.5809765066416906,-0.6661666315761247,-0.5558455918345627,-0.7686623066880132
66,2009-08-03,-0.46947048884235393,-0.5649794213359963,-0.6336666997379135,-0.5192917793946871,-0.7409087984784954
67,2009-08-04,-0.44765016663167856,-0.5245348971584113,-0.5901045928247808,-0.5205917923870422,-0.6517563754668507
68,2009-08-05,-0.4848305181608184,-0.48111820581925724,-0.5529890556409877,-0.5320166496004287,-0.5651402185438965
69,2009-08-06,-0.4960278827917388,-0.4673647223549223,-0.5224955924865023,-0.5389175329673284,-0.496545365816914
70,2009-08-07,-0.399271900799801,-0.42642492996042936,-0.4899193595112219,-0.5290550837077852,-0.4410676274196962
71,2009-08-10,-0.40630550139953875,-0.41360374233310204,-0.465269739684409,-0.5082154680039025,-0.41290652100016
72,2009-08-11,-0.4446352167028288,-0.41299176977853175,-0.44295466590365945,-0.5018777905700588,-0.37447168604477593
73,2009-08-12,-0.3780254359684738,-0.3913125444073583,-0.4273836837056387,-0.47210919139486346,-0.3738337471839834
74,2009-08-13,-0.3249106480697041,-0.35657928059365546,-0.4123696530693972,-0.4352200169693111,-0.3816735613845509
75,2009-08-14,-0.35764085654980493,-0.3481290385994819,-0.3896730736032993,-0.41737665215803593,-0.35435433305253855
